text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
mnynN;,"Masekhet: 71005, Page: 002, Side: 2, Line: 29, Word: 0",verb G,,,,,"to count, to number","to count as, to reckon as","to recite, chant",,מנינן;,mny,verb peal,"to count, to number | to count as, to reckon as | to recite, chant"
dlm),"Masekhet: 71005, Page: 002, Side: 2, Line: 29, Word: 1",c,,,,,"lest, perhaps",,,,דלמא,dylm),conjunction,"lest, perhaps"
mt$ry,"Masekhet: 71005, Page: 002, Side: 2, Line: 29, Word: 2",p,noun sg. abs. or construct,,,,from,Tishri (September/October),,,מתשרי,t$ry,preposition | noun sg. abs. or construct,from | Tishri (September/October)
mnynN;,"Masekhet: 71005, Page: 002, Side: 2, Line: 29, Word: 3",verb G,,,,,"to count, to number","to count as, to reckon as","to recite, chant",,מנינן;,mny,verb peal,"to count, to number | to count as, to reckon as | to recite, chant"
l),"Masekhet: 71005, Page: 002, Side: 2, Line: 29, Word: 4",a,,,,,"no, not",,,,לא,l),adverb,"no, not"
sld'(;,"Masekhet: 71005, Page: 002, Side: 2, Line: 29, Word: 5",verb G,,,,,to go up,to result,to travel,idioms:,סלד'ע;,slq,verb peal,to go up | to result | to travel | idioms:
mdq)yM,"Masekhet: 71005, Page: 002, Side: 2, Line: 35, Word: 0",c,verb G,,,,to rise,"to stand, to be raised up","to stand still, to stop",with various prepositions,מדקאים,qwm,conjunction | verb peal,"to rise | to stand, to be raised up | to stand still, to stop | with various prepositions"
b)b,"Masekhet: 71005, Page: 002, Side: 2, Line: 35, Word: 1",p02,noun sg. abs. or construct,,,,"in, with",Ab (July/August),,,באב,)b,preposition with pronominal suffix | noun sg. abs. or construct,"in, with | Ab (July/August)"
wqry,"Masekhet: 71005, Page: 002, Side: 2, Line: 35, Word: 2",c,verb G,,,,to call,to read,to cry out,"to proclaim, to declare",וקרי,qry,conjunction | verb peal,"to call | to read | to cry out | to proclaim, to declare"
lyh,"Masekhet: 71005, Page: 002, Side: 2, Line: 35, Word: 3",p02,,,,,"to, for",,,,ליה,l_,preposition with pronominal suffix,"to, for"
"""$nt","Masekhet: 71005, Page: 002, Side: 2, Line: 35, Word: 4",No data,,,,,,,,,שנת,None,No data,
")rb(yM"";","Masekhet: 71005, Page: 002, Side: 2, Line: 35, Word: 5",No data,,,,,,,,,ארבעים;,None,No data,
q)y,"Masekhet: 71005, Page: 002, Side: 2, Line: 36, Word: 0",verb G,,,,,to rise,"to stand, to be raised up","to stand still, to stop",with various prepositions,קאי,qwm,verb peal,"to rise | to stand, to be raised up | to stand still, to stop | with various prepositions"
b$bT,"Masekhet: 71005, Page: 002, Side: 2, Line: 36, Word: 1",p02,noun sg. abs. or construct,,,,"in, with",tribe; staff; plague,,,בשבט,$bT,preposition with pronominal suffix | noun sg. abs. or construct,"in, with | tribe; staff; plague"
wqry,"Masekhet: 71005, Page: 002, Side: 2, Line: 36, Word: 2",c,verb G,,,,to call,to read,to cry out,"to proclaim, to declare",וקרי,qry,conjunction | verb peal,"to call | to read | to cry out | to proclaim, to declare"
lh,"Masekhet: 71005, Page: 002, Side: 2, Line: 36, Word: 3",p02,,,,,"to, for",,,,לה,l_,preposition with pronominal suffix,"to, for"
"""$nt","Masekhet: 71005, Page: 002, Side: 2, Line: 36, Word: 4",No data,,,,,,,,,שנת,None,No data,
")rb(yM"";","Masekhet: 71005, Page: 002, Side: 2, Line: 36, Word: 5",No data,,,,,,,,,ארבעים;,None,No data,
