text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,split_word_0,split_word_1,split_word_2,split_word_3,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
)y,"Masekhet: 71016, Page: 009, Side: 2, Line: 38, Word: 2",c,,,,,ˀy,,,,"if, whether",,,,אי,)y,conjunction,"if, whether"
qdw$,"Masekhet: 71016, Page: 009, Side: 2, Line: 38, Word: 3",verb G,,,,,qdš,,,,to become sanctified,,,,קדוש,qd$,verb peal,to become sanctified
"""kmnx'","Masekhet: 71016, Page: 009, Side: 2, Line: 38, Word: 4",No data,,,,,,,,,,,,,כמנח',None,No data,
"h(wmr"";","Masekhet: 71016, Page: 009, Side: 2, Line: 38, Word: 5",No data,,,,,,,,,,,,,העומר;,None,No data,
tqdy$;,"Masekhet: 71016, Page: 010, Side: 1, Line: 01, Word: 0",verb D,,,,,qdš,,,,to sanctify,to betroth a woman,to proclaim a new month,,תקדיש;,qd$,verb pael,to sanctify | to betroth a woman | to proclaim a new month
)y,"Masekhet: 71016, Page: 010, Side: 1, Line: 01, Word: 1",c,,,,,ˀy,,,,"if, whether",,,,אי,)y,conjunction,"if, whether"
l);,"Masekhet: 71016, Page: 010, Side: 1, Line: 01, Word: 2",a,,,,,lˀ,,,,"no, not",,,,לא;,l),adverb,"no, not"
l);,"Masekhet: 71016, Page: 010, Side: 1, Line: 01, Word: 3",a,,,,,lˀ,,,,"no, not",,,,לא;,l),adverb,"no, not"
qm'l,"Masekhet: 71016, Page: 010, Side: 1, Line: 01, Word: 4",verb C,,,,,šmˁ,,,,to cause to hear,"to give to understand, teach a legal tradition",to cause to obey,,קמ'ל,$m(,verb (h)aphel,"to cause to hear | to give to understand, teach a legal tradition | to cause to obey"
wh),"Masekhet: 71016, Page: 010, Side: 1, Line: 16, Word: 0",c,I,,,,w_,hˀ,,,"and, also",here! look!,,,והא,h),conjunction | interjection,"and, also | here! look!"
)mrwh,"Masekhet: 71016, Page: 010, Side: 1, Line: 16, Word: 1",verb G,,,,,ˀmr,,,,to say,to command,to think,idiomatic and special usages:,אמרוה,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
b'$,"Masekhet: 71016, Page: 010, Side: 1, Line: 16, Word: 2",No data,,,,,,,,,,,,,ב'ש,None,No data,
xd',"Masekhet: 71016, Page: 010, Side: 1, Line: 16, Word: 3",n01,,,,,ḥd,,,,one,,,,חד',xd,numeral singular absolute or construct,one
zymn';,"Masekhet: 71016, Page: 010, Side: 1, Line: 16, Word: 4",noun sg. emphatic,,,,,"zmn, zmnˀ",,,,set time; instance,,,,זימנ';,zymn),noun sg. emphatic,set time; instance
)',"Masekhet: 71016, Page: 010, Side: 1, Line: 16, Word: 5",verb G,,,,,ˀmr,,,,to say,to command,to think,idiomatic and special usages:,א',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
rb);,"Masekhet: 71016, Page: 010, Side: 1, Line: 16, Word: 6",No data,,,,,,,,,,,,,רבא;,None,No data,
trtyN,"Masekhet: 71016, Page: 010, Side: 1, Line: 17, Word: 0",n02,,,,,tryn,,,,two,,,,תרתין,try,numeral singular determined,two
tlt;,"Masekhet: 71016, Page: 010, Side: 1, Line: 17, Word: 1",n01,,,,,tlt,,,,three,,,,תלת;,tlt),numeral singular absolute or construct,three
wkN,"Masekhet: 71016, Page: 010, Side: 1, Line: 17, Word: 2",c,a,,,,w_,kn,,,"and, also","thus, so",,,וכן,kn,conjunction | adverb,"and, also | thus, so"
tny,"Masekhet: 71016, Page: 010, Side: 1, Line: 17, Word: 3",verb G,,,,,tny,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
r',"Masekhet: 71016, Page: 010, Side: 1, Line: 17, Word: 4",No data,,,,,,,,,,,,,ר',None,No data,
xyy);,"Masekhet: 71016, Page: 010, Side: 1, Line: 17, Word: 5",No data,,,,,,,,,,,,,חייא;,None,No data,
trty,"Masekhet: 71016, Page: 010, Side: 1, Line: 17, Word: 6",n02,,,,,tryn,,,,two,,,,תרתי,try,numeral singular determined,two
tlt;,"Masekhet: 71016, Page: 010, Side: 1, Line: 17, Word: 7",n01,,,,,tlt,,,,three,,,,תלת;,tlt),numeral singular absolute or construct,three
wkN,"Masekhet: 71016, Page: 010, Side: 1, Line: 17, Word: 8",c,a,,,,w_,kn,,,"and, also","thus, so",,,וכן,kn,conjunction | adverb,"and, also | thus, so"
tny,"Masekhet: 71016, Page: 010, Side: 1, Line: 18, Word: 0",verb G,,,,,tny,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
rb,"Masekhet: 71016, Page: 010, Side: 1, Line: 18, Word: 1",No data,,,,,,,,,,,,,רב,None,No data,
hw$(y';,"Masekhet: 71016, Page: 010, Side: 1, Line: 18, Word: 2",No data,,,,,,,,,,,,,הושעי';,None,No data,
trtyN,"Masekhet: 71016, Page: 010, Side: 1, Line: 18, Word: 3",n02,,,,,tryn,,,,two,,,,תרתין,try,numeral singular determined,two
tlt;,"Masekhet: 71016, Page: 010, Side: 1, Line: 18, Word: 4",n01,,,,,tlt,,,,three,,,,תלת;,tlt),numeral singular absolute or construct,three
wcryky;,"Masekhet: 71016, Page: 010, Side: 1, Line: 18, Word: 5",c,A01,,,,w_,ṣryk,,,"and, also",poor; needy,,,וצריכי;,cryk,conjunction | adjective singular absolute or construct,"and, also | poor; needy"
d)y,"Masekhet: 71016, Page: 010, Side: 1, Line: 18, Word: 6",c,c,,,,dy,ˀy,,,"who,which (relative)","if, whether",,,דאי,)y,conjunction | conjunction,"who,which (relative) | if, whether"
)ytm',"Masekhet: 71016, Page: 010, Side: 1, Line: 18, Word: 7",verb Gt,,,,,ˀmr,,,,to be said,"to be ordered, commanded",,,איתמ',)mr,verb ethpeel,"to be said | to be ordered, commanded"
"""grwgr'","Masekhet: 71016, Page: 010, Side: 1, Line: 19, Word: 0",No data,,,,,,,,,,,,,גרוגר',None,No data,
"wdbl'"";","Masekhet: 71016, Page: 010, Side: 1, Line: 19, Word: 1",No data,,,,,,,,,,,,,ודבל';,None,No data,
ht',"Masekhet: 71016, Page: 010, Side: 1, Line: 19, Word: 2",a,,,,,htm,,,,there,,,,הת',htm,adverb,there
hw',"Masekhet: 71016, Page: 010, Side: 1, Line: 19, Word: 3",verb G,,,,,hwy,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הו',hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
d)',"Masekhet: 71016, Page: 010, Side: 1, Line: 19, Word: 4",c,verb G,,,,dy,ˀmr,,,to say,to command,to think,idiomatic and special usages:,דא',)mr,conjunction | verb peal,to say | to command | to think | idiomatic and special usages:
b'$,"Masekhet: 71016, Page: 010, Side: 1, Line: 19, Word: 5",No data,,,,,,,,,,,,,ב'ש,None,No data,
hwy,"Masekhet: 71016, Page: 010, Side: 1, Line: 20, Word: 0",verb G,,,,,hwy,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוי,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
"""nzyr"";","Masekhet: 71016, Page: 010, Side: 1, Line: 20, Word: 1",No data,,,,,,,,,,,,,נזיר;,None,No data,
m$w',"Masekhet: 71016, Page: 010, Side: 1, Line: 20, Word: 2",c,,,,,mšwm,,,,"because, since",,,,משו',m$wm,conjunction,"because, since"
dmyxlpN;,"Masekhet: 71016, Page: 010, Side: 1, Line: 20, Word: 3",c,verb Dt,,,,dy,ḥlp,,,(time) to pass,to alternate,to be changed,,דמיחלפן;,xlp,conjunction | verb ethpaal,(time) to pass | to alternate | to be changed
""")bl","Masekhet: 71016, Page: 010, Side: 1, Line: 20, Word: 4",No data,,,,,,,,,,,,,אבל,None,No data,
"b$r""","Masekhet: 71016, Page: 010, Side: 1, Line: 20, Word: 5",No data,,,,,,,,,,,,,בשר,None,No data,
"""b(nby'""","Masekhet: 71016, Page: 010, Side: 1, Line: 21, Word: 0",No data,,,,,,,,,,,,,בענבי',None,No data,
l),"Masekhet: 71016, Page: 010, Side: 1, Line: 21, Word: 1",a,,,,,lˀ,,,,"no, not",,,,לא,l),adverb,"no, not"
myxlp{{N}}^)^;,"Masekhet: 71016, Page: 010, Side: 1, Line: 21, Word: 2",verb Dt,,,,,ḥlp,,,,(time) to pass,to alternate,to be changed,,מיחלפןא;,xlp,verb ethpaal,(time) to pass | to alternate | to be changed
w)y,"Masekhet: 71016, Page: 010, Side: 1, Line: 21, Word: 3",c,c,,,,w_,ˀy,,,"and, also","if, whether",,,ואי,)y,conjunction | conjunction,"and, also | if, whether"
)ytm',"Masekhet: 71016, Page: 010, Side: 1, Line: 21, Word: 4",verb Gt,,,,,ˀmr,,,,to be said,"to be ordered, commanded",,,איתמ',)mr,verb ethpeel,"to be said | to be ordered, commanded"
"""b$r'"";","Masekhet: 71016, Page: 010, Side: 1, Line: 21, Word: 5",No data,,,,,,,,,,,,,בשר';,None,No data,
hk',"Masekhet: 71016, Page: 010, Side: 1, Line: 21, Word: 6",a,,,,,hkh,,,,here,,,,הכ',hk),adverb,here
hw),"Masekhet: 71016, Page: 010, Side: 1, Line: 22, Word: 0",P01,,,,,hwˀ,,,,he,,,,הוא,hw),preposition independent,he
d)m',"Masekhet: 71016, Page: 010, Side: 1, Line: 22, Word: 1",c,verb G,,,,dy,ˀmr,,,to say,to command,to think,idiomatic and special usages:,דאמ',)mr,conjunction | verb peal,to say | to command | to think | idiomatic and special usages:
b'$,"Masekhet: 71016, Page: 010, Side: 1, Line: 22, Word: 2",No data,,,,,,,,,,,,,ב'ש,None,No data,
hwy,"Masekhet: 71016, Page: 010, Side: 1, Line: 22, Word: 3",verb G,,,,,hwy,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוי,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
"""nzyr"";","Masekhet: 71016, Page: 010, Side: 1, Line: 22, Word: 4",No data,,,,,,,,,,,,,נזיר;,None,No data,
b$r',"Masekhet: 71016, Page: 010, Side: 1, Line: 22, Word: 5",noun sg. emphatic,,,,,"bsr, bsrˀ",,,,flesh,,,,בשר',by&r),noun sg. emphatic,flesh
wxmr';,"Masekhet: 71016, Page: 010, Side: 1, Line: 22, Word: 6",c,noun sg. emphatic,,,,w_,"ḥmr, ḥmrˀ",,,"and, also",wine,,,וחמר';,xmr),conjunction | noun sg. emphatic,"and, also | wine"
""")bl","Masekhet: 71016, Page: 010, Side: 1, Line: 23, Word: 0",No data,,,,,,,,,,,,,אבל,None,No data,
grwgr',"Masekhet: 71016, Page: 010, Side: 1, Line: 23, Word: 1",No data,,,,,,,,,,,,,גרוגר',None,No data,
"wdbl'""","Masekhet: 71016, Page: 010, Side: 1, Line: 23, Word: 2",No data,,,,,,,,,,,,,ודבל',None,No data,
l);,"Masekhet: 71016, Page: 010, Side: 1, Line: 23, Word: 3",a,,,,,lˀ,,,,"no, not",,,,לא;,l),adverb,"no, not"
qm'l;,"Masekhet: 71016, Page: 010, Side: 1, Line: 23, Word: 4",verb C,,,,,šmˁ,,,,to cause to hear,"to give to understand, teach a legal tradition",to cause to obey,,קמ'ל;,$m(,verb (h)aphel,"to cause to hear | to give to understand, teach a legal tradition | to cause to obey"
w)y,"Masekhet: 71016, Page: 010, Side: 1, Line: 23, Word: 5",c,c,,,,w_,ˀy,,,"and, also","if, whether",,,ואי,)y,conjunction | conjunction,"and, also | if, whether"
)ytm',"Masekhet: 71016, Page: 010, Side: 1, Line: 23, Word: 6",verb Gt,,,,,ˀmr,,,,to be said,"to be ordered, commanded",,,איתמ',)mr,verb ethpeel,"to be said | to be ordered, commanded"
hny,"Masekhet: 71016, Page: 010, Side: 1, Line: 24, Word: 0",P01,,,,,hny,,,,"these, those",,,,הני,hny,preposition independent,"these, those"
trty;,"Masekhet: 71016, Page: 010, Side: 1, Line: 24, Word: 1",n02,,,,,tryn,,,,two,,,,תרתי;,try,numeral singular determined,two
bhny,"Masekhet: 71016, Page: 010, Side: 1, Line: 24, Word: 2",p02,P01,,,,b_,hny,,,"in, with","these, those",,,בהני,hny,preposition with pronominal suffix | preposition independent,"in, with | these, those"
hw),"Masekhet: 71016, Page: 010, Side: 1, Line: 24, Word: 3",P01,,,,,hwˀ,,,,he,,,,הוא,hw),preposition independent,he
dq)m',"Masekhet: 71016, Page: 010, Side: 1, Line: 24, Word: 4",c,verb G,,,,dy,ˀmr,,,to say,to command,to think,idiomatic and special usages:,דקאמ',)mr,conjunction | verb peal,to say | to command | to think | idiomatic and special usages:
b'$;,"Masekhet: 71016, Page: 010, Side: 1, Line: 24, Word: 5",No data,,,,,,,,,,,,,ב'ש;,None,No data,
w)y,"Masekhet: 71016, Page: 010, Side: 1, Line: 25, Word: 0",c,c,,,,w_,ˀy,,,"and, also","if, whether",,,ואי,)y,conjunction | conjunction,"and, also | if, whether"
tn),"Masekhet: 71016, Page: 010, Side: 1, Line: 25, Word: 1",noun sg. emphatic,,,,,"tny, tnyˀ, tnˀ",,,,tanna,,,,תנא,tn),noun sg. emphatic,tanna
"""dlt"";","Masekhet: 71016, Page: 010, Side: 1, Line: 25, Word: 2",No data,,,,,,,,,,,,,דלת;,None,No data,
bh),"Masekhet: 71016, Page: 010, Side: 1, Line: 26, Word: 0",p02,P01,,,,b_,hˀ,,,"in, with",this (f.),,,בהא,h),preposition with pronominal suffix | preposition independent,"in, with | this (f.)"
hw),"Masekhet: 71016, Page: 010, Side: 1, Line: 26, Word: 1",P01,,,,,hwˀ,,,,he,,,,הוא,hw),preposition independent,he
dq)m',"Masekhet: 71016, Page: 010, Side: 1, Line: 26, Word: 2",c,verb G,,,,dy,ˀmr,,,to say,to command,to think,idiomatic and special usages:,דקאמ',)mr,conjunction | verb peal,to say | to command | to think | idiomatic and special usages:
b'h;,"Masekhet: 71016, Page: 010, Side: 1, Line: 26, Word: 3",No data,,,,,,,,,,,,,ב'ה;,None,No data,
)bl,"Masekhet: 71016, Page: 010, Side: 1, Line: 26, Word: 4",No data,,,,,,,,,,,,,אבל,None,No data,
bhnK,"Masekhet: 71016, Page: 010, Side: 1, Line: 26, Word: 5",p02,P01,,,,b_,"hnk, hnˀk, ˀnk, ˀynk",,,"in, with",those,,,בהנך,hnk,preposition with pronominal suffix | preposition independent,"in, with | those"
trty,"Masekhet: 71016, Page: 010, Side: 1, Line: 26, Word: 6",n02,,,,,tryn,,,,two,,,,תרתי,try,numeral singular determined,two
)ym',"Masekhet: 71016, Page: 010, Side: 1, Line: 27, Word: 0",verb G,,,,,ˀmr,,,,to say,to command,to think,idiomatic and special usages:,אימ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
mwdw,"Masekhet: 71016, Page: 010, Side: 1, Line: 27, Word: 1",verb C,,,,,ydy,,,,to praise,to confess,"to consent, acknowledge",,מודו,ydy,verb (h)aphel,"to praise | to confess | to consent, acknowledge"
lhw,"Masekhet: 71016, Page: 010, Side: 1, Line: 27, Word: 2",p,,,,,l_,,,,"to, for",,,,להו,l_,preposition,"to, for"
lb'$;,"Masekhet: 71016, Page: 010, Side: 1, Line: 27, Word: 3",No data,,,,,,,,,,,,,לב'ש;,None,No data,
qm'l,"Masekhet: 71016, Page: 010, Side: 1, Line: 27, Word: 4",verb C,,,,,šmˁ,,,,to cause to hear,"to give to understand, teach a legal tradition",to cause to obey,,קמ'ל,$m(,verb (h)aphel,"to cause to hear | to give to understand, teach a legal tradition | to cause to obey"
dl);,"Masekhet: 71016, Page: 010, Side: 1, Line: 27, Word: 5",c,a,,,,dy,lˀ,,,"who,which (relative)","no, not",,,דלא;,l),conjunction | adverb,"who,which (relative) | no, not"
b'$,"Masekhet: 71016, Page: 010, Side: 2, Line: 02, Word: 0",No data,,,,,,,,,,,,,ב'ש,None,No data,
sb';,"Masekhet: 71016, Page: 010, Side: 2, Line: 02, Word: 1",noun sg. emphatic,,,,,"sb, sbˀ",,,,old man,,,,סב';,sb),noun sg. emphatic,old man
twrpy',"Masekhet: 71016, Page: 010, Side: 2, Line: 02, Word: 2",noun sg. emphatic,,,,,twrpˀ,,,,validating clause,,,,תורפי',twrp),noun sg. emphatic,validating clause
dhhw',"Masekhet: 71016, Page: 010, Side: 2, Line: 02, Word: 3",c,P01,,,,dy,hhwˀ,,,"who,which (relative)",that one (m.),,,דההו',hhw),conjunction | preposition independent,"who,which (relative) | that one (m.)"
gbr',"Masekhet: 71016, Page: 010, Side: 2, Line: 02, Word: 4",noun sg. emphatic,,,,,"gbr, gbrˀ",,,,man,,,,גבר',gbr),noun sg. emphatic,man
m$w',"Masekhet: 71016, Page: 010, Side: 2, Line: 03, Word: 0",p,,,,,mšwm,,,,because of,,,,משו',m$wm,preposition,because of
)wqm',"Masekhet: 71016, Page: 010, Side: 2, Line: 03, Word: 1",verb C,,,,,qwm,,,,"to make to stand, to position",fig. : to impose,to awaken s.o.,to make a contractual arrangement,אוקמ',qwm,verb (h)aphel,"to make to stand, to position | fig. : to impose | to awaken s.o. | to make a contractual arrangement"
bydy',"Masekhet: 71016, Page: 010, Side: 2, Line: 03, Word: 2",p02,noun sg. emphatic,,,,b_,"yd, ˀydˀ",,,"in, with","hand, arm; side; power",,,בידי',yd),preposition with pronominal suffix | noun sg. emphatic,"in, with | hand, arm; side; power"
hw);,"Masekhet: 71016, Page: 010, Side: 2, Line: 03, Word: 3",P01,,,,,hwˀ,,,,he,,,,הוא;,hw),preposition independent,he
wh),"Masekhet: 71016, Page: 010, Side: 2, Line: 03, Word: 4",c,I,,,,w_,hˀ,,,"and, also",here! look!,,,והא,h),conjunction | interjection,"and, also | here! look!"
l),"Masekhet: 71016, Page: 010, Side: 2, Line: 03, Word: 5",a,,,,,lˀ,,,,"no, not",,,,לא,l),adverb,"no, not"
)wqm';,"Masekhet: 71016, Page: 010, Side: 2, Line: 03, Word: 6",verb C,,,,,qwm,,,,"to make to stand, to position",fig. : to impose,to awaken s.o.,to make a contractual arrangement,אוקמ';,qwm,verb (h)aphel,"to make to stand, to position | fig. : to impose | to awaken s.o. | to make a contractual arrangement"
wb'h,"Masekhet: 71016, Page: 010, Side: 2, Line: 04, Word: 0",c,,,,,w_,,,,"and, also",,,,וב'ה,w_,conjunction,"and, also"
sbry;,"Masekhet: 71016, Page: 010, Side: 2, Line: 04, Word: 1",verb G,,,,,sbr,,,,to have thoughts,idioms:,,,סברי;,sbr,verb peal,to have thoughts | idioms:
m$w',"Masekhet: 71016, Page: 010, Side: 2, Line: 04, Word: 2",c,,,,,mšwm,,,,"because, since",,,,משו',m$wm,conjunction,"because, since"
drby(',"Masekhet: 71016, Page: 010, Side: 2, Line: 04, Word: 3",c,verb G,,,,dy,rbˁ,,,to lie down or crouch down (of -- or in the manner of -- an animal),to collapse (house),,,דרביע',rb(,conjunction | verb peal,to lie down or crouch down (of -- or in the manner of -- an animal) | to collapse (house)
hy';,"Masekhet: 71016, Page: 010, Side: 2, Line: 04, Word: 4",P01,,,,,hyˀ,,,,she,,,,הי';,hy),preposition independent,she
wh),"Masekhet: 71016, Page: 010, Side: 2, Line: 04, Word: 5",c,I,,,,w_,hˀ,,,"and, also",here! look!,,,והא,h),conjunction | interjection,"and, also | here! look!"
qmt;,"Masekhet: 71016, Page: 010, Side: 2, Line: 05, Word: 0",verb G,,,,,qwm,,,,to rise,"to stand, to be raised up","to stand still, to stop",with various prepositions,קמת;,qwm,verb peal,"to rise | to stand, to be raised up | to stand still, to stop | with various prepositions"
"""pr'""","Masekhet: 71016, Page: 010, Side: 2, Line: 07, Word: 0",No data,,,,,,,,,,,,,פר',None,No data,
my,"Masekhet: 71016, Page: 010, Side: 2, Line: 07, Word: 1",c,,,,,my,,,,interrogative particle,,,,מי,my,conjunction,interrogative particle
qmtpys,"Masekhet: 71016, Page: 010, Side: 2, Line: 07, Word: 2",verb C,,,,,tps,,,,to cause to seize,to vow indirectly,,,קמתפיס,tps,verb (h)aphel,to cause to seize | to vow indirectly
bh;,"Masekhet: 71016, Page: 010, Side: 2, Line: 07, Word: 3",p02,,,,,b_,,,,"in, with",,,,בה;,b_,preposition with pronominal suffix,"in, with"
b'$,"Masekhet: 71016, Page: 010, Side: 2, Line: 10, Word: 0",No data,,,,,,,,,,,,,ב'ש,None,No data,
sbry;,"Masekhet: 71016, Page: 010, Side: 2, Line: 10, Word: 1",verb G,,,,,sbr,,,,to have thoughts,idioms:,,,סברי;,sbr,verb peal,to have thoughts | idioms:
twrpy',"Masekhet: 71016, Page: 010, Side: 2, Line: 10, Word: 2",noun sg. emphatic,,,,,twrpˀ,,,,validating clause,,,,תורפי',twrp),noun sg. emphatic,validating clause
dhhw',"Masekhet: 71016, Page: 010, Side: 2, Line: 10, Word: 3",c,P01,,,,dy,hhwˀ,,,"who,which (relative)",that one (m.),,,דההו',hhw),conjunction | preposition independent,"who,which (relative) | that one (m.)"
gbr',"Masekhet: 71016, Page: 010, Side: 2, Line: 10, Word: 4",noun sg. emphatic,,,,,"gbr, gbrˀ",,,,man,,,,גבר',gbr),noun sg. emphatic,man
m$w',"Masekhet: 71016, Page: 010, Side: 2, Line: 10, Word: 5",p,,,,,mšwm,,,,because of,,,,משו',m$wm,preposition,because of
)wqm',"Masekhet: 71016, Page: 010, Side: 2, Line: 11, Word: 0",verb C,,,,,qwm,,,,"to make to stand, to position",fig. : to impose,to awaken s.o.,to make a contractual arrangement,אוקמ',qwm,verb (h)aphel,"to make to stand, to position | fig. : to impose | to awaken s.o. | to make a contractual arrangement"
hy',"Masekhet: 71016, Page: 010, Side: 2, Line: 11, Word: 1",P01,,,,,hyˀ,,,,she,,,,הי',hy),preposition independent,she
bydy';,"Masekhet: 71016, Page: 010, Side: 2, Line: 11, Word: 2",p02,noun sg. emphatic,,,,b_,"yd, ˀydˀ",,,"in, with","hand, arm; side; power",,,בידי';,yd),preposition with pronominal suffix | noun sg. emphatic,"in, with | hand, arm; side; power"
wl),"Masekhet: 71016, Page: 010, Side: 2, Line: 11, Word: 3",c,a,,,,w_,lˀ,,,"and, also","no, not",,,ולא,l),conjunction | adverb,"and, also | no, not"
)wqm';,"Masekhet: 71016, Page: 010, Side: 2, Line: 11, Word: 4",verb C,,,,,qwm,,,,"to make to stand, to position",fig. : to impose,to awaken s.o.,to make a contractual arrangement,אוקמ';,qwm,verb (h)aphel,"to make to stand, to position | fig. : to impose | to awaken s.o. | to make a contractual arrangement"
wb'h,"Masekhet: 71016, Page: 010, Side: 2, Line: 11, Word: 5",No data,,,,,,,,,,,,,וב'ה,None,No data,
sb';,"Masekhet: 71016, Page: 010, Side: 2, Line: 12, Word: 0",noun sg. emphatic,,,,,"sb, sbˀ",,,,old man,,,,סב';,sb),noun sg. emphatic,old man
twrpy',"Masekhet: 71016, Page: 010, Side: 2, Line: 12, Word: 1",noun sg. emphatic,,,,,twrpˀ,,,,validating clause,,,,תורפי',twrp),noun sg. emphatic,validating clause
dh)y,"Masekhet: 71016, Page: 010, Side: 2, Line: 12, Word: 2",c,P01,,,,dy,hˀy,,,"who,which (relative)",this,,,דהאי,h)y,conjunction | preposition independent,"who,which (relative) | this"
gbr',"Masekhet: 71016, Page: 010, Side: 2, Line: 12, Word: 3",noun sg. emphatic,,,,,"gbr, gbrˀ",,,,man,,,,גבר',gbr),noun sg. emphatic,man
drby(',"Masekhet: 71016, Page: 010, Side: 2, Line: 12, Word: 4",c,verb G,,,,dy,rbˁ,,,to lie down or crouch down (of -- or in the manner of -- an animal),to collapse (house),,,דרביע',rb(,conjunction | verb peal,to lie down or crouch down (of -- or in the manner of -- an animal) | to collapse (house)
hy);,"Masekhet: 71016, Page: 010, Side: 2, Line: 12, Word: 5",P01,,,,,hyˀ,,,,she,,,,היא;,hy),preposition independent,she
wh),"Masekhet: 71016, Page: 010, Side: 2, Line: 13, Word: 0",c,P,,,,w_,hˀ,,,"and, also",this (f.),,,והא,h),conjunction | P,"and, also | this (f.)"
qmt;,"Masekhet: 71016, Page: 010, Side: 2, Line: 13, Word: 1",verb G,,,,,qwm,,,,to rise,"to stand, to be raised up","to stand still, to stop",with various prepositions,קמת;,qwm,verb peal,"to rise | to stand, to be raised up | to stand still, to stop | with various prepositions"
wb'h;,"Masekhet: 71016, Page: 010, Side: 2, Line: 13, Word: 2",No data,,,,,,,,,,,,,וב'ה;,None,No data,
)y,"Masekhet: 71016, Page: 010, Side: 2, Line: 13, Word: 3",c,,,,,ˀy,,,,"if, whether",,,,אי,)y,conjunction,"if, whether"
l),"Masekhet: 71016, Page: 010, Side: 2, Line: 13, Word: 4",a,,,,,lˀ,,,,"no, not",,,,לא,l),adverb,"no, not"
qmt,"Masekhet: 71016, Page: 010, Side: 2, Line: 13, Word: 5",verb G,,,,,qwm,,,,to rise,"to stand, to be raised up","to stand still, to stop",with various prepositions,קמת,qwm,verb peal,"to rise | to stand, to be raised up | to stand still, to stop | with various prepositions"
hwy,"Masekhet: 71016, Page: 010, Side: 2, Line: 13, Word: 6",verb G,,,,,hwy,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוי,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
nzyr';,"Masekhet: 71016, Page: 010, Side: 2, Line: 13, Word: 7",N,,,,,"nzr, nzrˀ",,,,'crown' (hairdo of a Nazirite),,,,נזיר';,nzyr),noun,'crown' (hairdo of a Nazirite)
wh)mry;,"Masekhet: 71016, Page: 010, Side: 2, Line: 14, Word: 0",c,verb G,,,,w_,ˀmr,,,to say,to command,to think,idiomatic and special usages:,והאמרי;,)mr,conjunction | verb peal,to say | to command | to think | idiomatic and special usages:
"""mb$r'""","Masekhet: 71016, Page: 010, Side: 2, Line: 14, Word: 1",No data,,,,,,,,,,,,,מבשר',None,No data,
l),"Masekhet: 71016, Page: 010, Side: 2, Line: 14, Word: 2",a,,,,,lˀ,,,,"no, not",,,,לא,l),adverb,"no, not"
hwy,"Masekhet: 71016, Page: 010, Side: 2, Line: 14, Word: 3",verb G,,,,,hwy,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוי,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
"""nzyr"";","Masekhet: 71016, Page: 010, Side: 2, Line: 14, Word: 4",No data,,,,,,,,,,,,,נזיר;,None,No data,
lT(',"Masekhet: 71016, Page: 010, Side: 2, Line: 14, Word: 5",p03,noun sg. emphatic,,,,l_,"ṭˁm, ṭˁmˀ",,,"to, for",taste; order,,,לטע',T(m),preposition proclitic | noun sg. emphatic,"to, for | taste; order"
db'$,"Masekhet: 71016, Page: 010, Side: 2, Line: 14, Word: 6",No data,,,,,,,,,,,,,דב'ש,None,No data,
q)mry;,"Masekhet: 71016, Page: 010, Side: 2, Line: 15, Word: 0",verb G,,,,,ˀmr,,,,to say,to command,to think,idiomatic and special usages:,קאמרי;,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
ldylN;,"Masekhet: 71016, Page: 010, Side: 2, Line: 15, Word: 1",P,,,,,dyl_,,,,(with pronominal suffixes:) independent possessive pronoun,,,,לדילן;,dyl_,P,(with pronominal suffixes:) independent possessive pronoun
)py',"Masekhet: 71016, Page: 010, Side: 2, Line: 15, Word: 2",c,,,,,ˀpylw,,,,"even if , even",,,,אפי',)plw,conjunction,"even if , even"
l),"Masekhet: 71016, Page: 010, Side: 2, Line: 15, Word: 3",a,,,,,lˀ,,,,"no, not",,,,לא,l),adverb,"no, not"
