text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,split_word_0,split_word_1,split_word_2,split_word_3,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
d)yty';,"Masekhet: 71016, Page: 002, Side: 1, Line: 28, Word: 6",c,V,,,,dy,ˀyt,,,"who,which (relative)","there is, exists",,,דאיתי';,)yt,conjunction | V,"who,which (relative) | there is, exists"
mpr',"Masekhet: 71016, Page: 002, Side: 1, Line: 28, Word: 7",verb D,,,,,prš,,,,to separate,"to distinguish, make distinct","to specify clearly, state","to explain, interpret",מפר',pr$,verb pael,"to separate | to distinguish, make distinct | to specify clearly, state | to explain, interpret"
hytr',"Masekhet: 71016, Page: 002, Side: 1, Line: 28, Word: 8",noun sg. emphatic,,,,,"hytyr, hytyrˀ",,,,permission,,,,היתר',hytyr),noun sg. emphatic,permission
bry$',"Masekhet: 71016, Page: 002, Side: 1, Line: 28, Word: 9",p02,noun sg. emphatic,,,,b_,"ryš, ryšˀ",,,"in, with",head; top; chief,,,בריש',ry$),preposition with pronominal suffix | noun sg. emphatic,"in, with | head; top; chief"
gby,"Masekhet: 71016, Page: 002, Side: 2, Line: 01, Word: 0",p,,,,,"gb, gby",,,,"at the side of, together with",,,,גבי,gby,preposition,"at the side of, together with"
"""y$","Masekhet: 71016, Page: 002, Side: 2, Line: 01, Word: 1",No data,,,,,,,,,,,,,יש,None,No data,
"nwxlyN""","Masekhet: 71016, Page: 002, Side: 2, Line: 01, Word: 2",No data,,,,,,,,,,,,,נוחלין,None,No data,
nmy,"Masekhet: 71016, Page: 002, Side: 2, Line: 01, Word: 3",a,,,,,nmy,,,,also,,,,נמי,nmy,adverb,also
mpr',"Masekhet: 71016, Page: 002, Side: 2, Line: 01, Word: 4",verb D,,,,,prš,,,,to separate,"to distinguish, make distinct","to specify clearly, state","to explain, interpret",מפר',pr$,verb pael,"to separate | to distinguish, make distinct | to specify clearly, state | to explain, interpret"
"""(yqr","Masekhet: 71016, Page: 002, Side: 2, Line: 01, Word: 5",No data,,,,,,,,,,,,,עיקר,None,No data,
"nxl'""","Masekhet: 71016, Page: 002, Side: 2, Line: 01, Word: 6",No data,,,,,,,,,,,,,נחל',None,No data,
bry$';,"Masekhet: 71016, Page: 002, Side: 2, Line: 01, Word: 7",p02,noun sg. emphatic,,,,b_,"ryš, ryšˀ",,,"in, with",head; top; chief,,,בריש';,ry$),preposition with pronominal suffix | noun sg. emphatic,"in, with | head; top; chief"
