text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,split_word_0,split_word_1,split_word_2,split_word_3,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
(lyh;,"Masekhet: 71034, Page: 002, Side: 2, Line: 18, Word: 3",p02,,,,,ˁl,,,,upon; against; to,,,,עליה;,(l,preposition with pronominal suffix,upon; against; to
d)y,"Masekhet: 71034, Page: 002, Side: 2, Line: 18, Word: 4",c,c,,,,dy,ˀy,,,"who,which (relative)","if, whether",,,דאי,)y,conjunction | conjunction,"who,which (relative) | if, whether"
tym);,"Masekhet: 71034, Page: 002, Side: 2, Line: 18, Word: 5",verb G,,,,,ˀmr,,,,to say,to command,to think,idiomatic and special usages:,תימא;,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
r',"Masekhet: 71034, Page: 002, Side: 2, Line: 18, Word: 6",No data,,,,,,,,,,,,,ר',None,No data,
hy);,"Masekhet: 71034, Page: 002, Side: 2, Line: 18, Word: 7",P01,,,,,hyˀ,,,,she,,,,היא;,hy),preposition independent,she
kywN,"Masekhet: 71034, Page: 002, Side: 2, Line: 19, Word: 0",c,,,,,kywn,,,,"when, since",,,,כיון,kywn,conjunction,"when, since"
"""dnzyrwt","Masekhet: 71034, Page: 002, Side: 2, Line: 19, Word: 1",No data,,,,,,,,,,,,,דנזירות,None,No data,
"dThrh""","Masekhet: 71034, Page: 002, Side: 2, Line: 19, Word: 2",No data,,,,,,,,,,,,,דטהרה,None,No data,
(d,"Masekhet: 71034, Page: 002, Side: 2, Line: 19, Word: 3",p01,,,,,ˁd,,,,until,,,,עד,(d,preposition independent,until
"""$myny""","Masekhet: 71034, Page: 002, Side: 2, Line: 19, Word: 4",No data,,,,,,,,,,,,,שמיני,None,No data,
l),"Masekhet: 71034, Page: 002, Side: 2, Line: 19, Word: 5",a,,,,,lˀ,,,,"no, not",,,,לא,l),adverb,"no, not"
xyyl),"Masekhet: 71034, Page: 002, Side: 2, Line: 19, Word: 6",verb G,,,,,ḥwl,,,,to fall upon destructively,fig. : to have effect on,,,חיילא,xwl,verb peal,to fall upon destructively | fig. : to have effect on
(lyh,"Masekhet: 71034, Page: 002, Side: 2, Line: 19, Word: 7",p02,,,,,ˁl,,,,upon; against; to,,,,עליה,(l,preposition with pronominal suffix,upon; against; to
hyky,"Masekhet: 71034, Page: 002, Side: 2, Line: 20, Word: 0",a,,,,,"hyk, ˀyk, hykˀ, ˀykh",,,,how,,,,היכי,hyky,adverb,how
m$kxt,"Masekhet: 71034, Page: 002, Side: 2, Line: 20, Word: 1",verb G,,,,,škḥ,,,,to find,"w. infinitive : to be able to, capable of",impersonal,"‏ : it may well be, it is possible",משכחת,$kx,verb peal,"to find | w. infinitive : to be able to, capable of | impersonal | ‏ : it may well be, it is possible"
lh;,"Masekhet: 71034, Page: 002, Side: 2, Line: 20, Word: 2",p02,,,,,l_,,,,"to, for",,,,לה;,l_,preposition with pronominal suffix,"to, for"
twb,"Masekhet: 71034, Page: 002, Side: 2, Line: 31, Word: 0",a,,,,,twb,,,,again,,,,תוב,twb,adverb,again
h),"Masekhet: 71034, Page: 002, Side: 2, Line: 31, Word: 1",P,,,,,hˀ,,,,this (f.),,,,הא,h),P,this (f.)
