scroll_name,column,line,emphatic_ratio,absolute_ratio,function_words_ratio,lexical_diversity,verb_ratio,passive_voice_ratio,plural_ratio,line_length,avg_word_len,v_then_noun_ratio,v_then_prep_ratio
11QtgJob_Job_Scroll,11,11,0.0,0.0,0.0,0.25,0.0,0.0,0.0,4.0,5.25,0.0,0.0
11QtgJob_Job_Scroll,12,01,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,4.0,0.0,0.0
11QtgJob_Job_Scroll,12,02,0.0,0.0,0.0,0.25,0.0,0.0,0.0,4.0,4.75,0.0,0.0
11QtgJob_Job_Scroll,12,03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0
11QtgJob_Job_Scroll,12,04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.5,0.0,0.0
11QtgJob_Job_Scroll,12,05,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,4.3333,0.0,0.0
11QtgJob_Job_Scroll,12,06,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,5.6667,0.0,0.0
11QtgJob_Job_Scroll,12,07,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,7.0,0.0,0.0
11QtgJob_Job_Scroll,12,08,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,5.0,0.0,0.0
11QtgJob_Job_Scroll,12,09,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,4.0,0.0,0.0
11QtgJob_Job_Scroll,13,01,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,4.6667,0.0,0.0
11QtgJob_Job_Scroll,13,02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.75,0.0,0.0
11QtgJob_Job_Scroll,13,03,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,5.6667,0.0,0.0
11QtgJob_Job_Scroll,13,04,0.0,0.0,0.0,0.2,0.0,0.0,0.0,5.0,5.2,0.0,0.0
11QtgJob_Job_Scroll,13,05,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,5.0,0.0,0.0
11QtgJob_Job_Scroll,13,06,0.0,0.0,0.0,0.5,0.3333,0.0,0.0,3.0,5.3333,0.0,0.0
11QtgJob_Job_Scroll,13,07,0.0,0.0,0.0,0.5,0.3333,0.0,0.0,3.0,5.3333,0.0,0.0
11QtgJob_Job_Scroll,13,08,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,5.6667,0.0,0.0
11QtgJob_Job_Scroll,13,09,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,5.6667,0.0,0.0
11QtgJob_Job_Scroll,13,10,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,5.0,0.0,0.0
11QtgJob_Job_Scroll,14,01,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,5.1667,0.0,0.0
11QtgJob_Job_Scroll,14,02,0.0,0.0,0.0,0.1667,0.3333,0.3333,0.0,6.0,5.3333,0.0,0.0
11QtgJob_Job_Scroll,14,03,0.0,0.0,0.0,0.1429,0.0,0.0,0.0,7.0,4.7143,0.0,0.0
11QtgJob_Job_Scroll,14,04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.2857,0.0,0.0
11QtgJob_Job_Scroll,14,05,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,6.0,4.3333,0.0,0.0
11QtgJob_Job_Scroll,14,06,0.0,0.0,0.0,0.0,0.2857,0.0,0.0,7.0,4.1429,0.0,0.0
11QtgJob_Job_Scroll,14,07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0
11QtgJob_Job_Scroll,14,08,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,6.0,4.1667,0.0,0.0
11QtgJob_Job_Scroll,14,09,0.0,0.0,0.0,0.2,0.0,0.0,0.0,5.0,5.4,0.0,0.0
11QtgJob_Job_Scroll,14,10,0.0,0.0,0.0,0.25,0.0,0.0,0.0,4.0,5.5,0.0,0.0
11QtgJob_Job_Scroll,14,11,0.0,0.0,0.0,0.5,0.6667,0.0,0.0,3.0,5.3333,0.0,0.0
11QtgJob_Job_Scroll,15,01,0.0,0.0,0.0,0.1667,0.3333,0.0,0.0,6.0,4.6667,0.0,0.0
11QtgJob_Job_Scroll,15,02,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,6.0,4.1667,0.0,0.0
11QtgJob_Job_Scroll,15,03,0.0,0.0,0.0,0.2857,0.0,0.0,0.0,7.0,4.1429,0.0,0.0
11QtgJob_Job_Scroll,15,04,0.0,0.0,0.0,0.1429,0.0,0.0,0.0,7.0,4.2857,0.0,0.0
11QtgJob_Job_Scroll,15,05,0.0,0.0,0.0,0.1429,0.0,0.0,0.0,7.0,4.5714,0.0,0.0
11QtgJob_Job_Scroll,15,06,0.0,0.0,0.0,0.1429,0.0,0.0,0.0,7.0,4.5714,0.0,0.0
11QtgJob_Job_Scroll,15,07,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,6.0,4.3333,0.0,0.0
