masekhet,page,side,line,target,emphatic_ratio,absolute_ratio,function_words_ratio,lexical_diversity,verb_ratio,passive_voice_ratio,plural_ratio,line_length,avg_word_len,v_then_noun_ratio,v_then_prep_ratio
5330038,48,c,24,Yerushalmi,0.0,0.4286,0.2857,1.0,0.4286,0.0,0.0,7.0,2.8571,0.3333,0.3333
5330038,48,c,25,Yerushalmi,0.0,0.0,0.0,0.4545,0.5455,0.0,0.0,11.0,3.3636,0.1667,0.0
5330038,48,c,31,Yerushalmi,0.0,0.2,0.0,1.0,0.4,0.0,0.0,5.0,2.6,0.5,0.0
5330038,48,c,32,Yerushalmi,0.0,0.0,0.2222,0.6667,1.7778,0.0,0.0,9.0,5.4444,0.0,0.0
5330038,48,c,40,Yerushalmi,0.0,0.0,0.5,0.5,0.0,0.0,0.0,2.0,6.0,0.0,0.0
5330038,48,c,41,Yerushalmi,0.0833,0.1667,0.6667,0.9167,0.6667,0.0,0.0,12.0,5.0833,0.0,0.0
5330038,48,c,42,Yerushalmi,0.2,0.0,0.3,0.9,1.3,0.0,0.5,10.0,5.6,0.0,0.0769
5330038,48,c,43,Yerushalmi,0.0833,0.0,0.25,0.4167,0.4167,0.0,1.0,12.0,4.1667,0.0,0.0
5330038,48,c,44,Yerushalmi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0769,0.0,0.0
5330038,48,c,45,Yerushalmi,0.2727,0.0909,0.5455,0.9091,0.7273,0.0,0.5,11.0,5.4545,0.0,0.125
5330038,48,c,46,Yerushalmi,0.3636,0.0909,0.4545,0.8182,1.0909,0.0,0.8,11.0,5.4545,0.1667,0.0
5330038,48,c,47,Yerushalmi,0.0833,0.0,0.1667,0.6667,0.9167,0.0,1.0,12.0,4.1667,0.0909,0.0909
5330038,48,c,48,Yerushalmi,0.0769,0.0,0.3846,0.5385,0.3077,0.0,0.0,13.0,4.2308,0.25,0.0
5330038,48,c,49,Yerushalmi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.7143,0.0,0.0
71005,002,1,09,Bavli,0.5,0.0,1.5,0.5,0.0,0.0,0.0,2.0,5.0,0.0,0.0
71005,002,2,03,Bavli,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,6.0,0.0,0.0
71005,002,2,04,Bavli,0.0,0.3333,0.5,0.9167,0.5,0.0,0.0,12.0,4.1667,0.0,0.3333
71005,002,2,05,Bavli,0.2,0.2,0.2,1.0,0.8,0.0,0.5,5.0,4.8,0.0,0.25
71005,002,2,12,Bavli,0.1667,0.3333,0.6667,1.0,0.3333,0.0,0.0,6.0,4.1667,0.5,0.0
71005,002,2,13,Bavli,0.0,0.0,0.0,0.5,2.0,0.0,0.0,2.0,6.0,0.0,0.0
71005,002,2,19,Bavli,0.0,0.4286,0.2857,0.8571,0.2857,0.0,0.0,7.0,4.0,0.0,0.5
71005,002,2,20,Bavli,0.3333,0.0,0.3333,1.0,0.6667,0.0,0.5,6.0,4.3333,0.0,0.25
71005,002,2,21,Bavli,0.0,0.0,0.0,0.5,2.0,0.0,0.0,1.0,6.0,0.0,0.0
71005,002,2,28,Bavli,0.1429,0.1429,0.4286,0.7143,0.0,0.0,0.0,7.0,4.4286,0.0,0.0
71005,002,2,29,Bavli,0.0,0.1667,0.3333,0.8333,1.0,0.0,0.0,6.0,4.8333,0.0,0.0
71005,002,2,35,Bavli,0.0,0.1667,0.6667,0.6667,0.6667,0.0,0.0,6.0,4.3333,0.0,0.5
71005,002,2,36,Bavli,0.0,0.1429,0.5714,0.7143,0.5714,0.0,0.0,7.0,3.8571,0.0,0.5
71005,002,2,37,Bavli,0.0,0.125,0.125,0.75,0.25,0.0,0.0,8.0,4.125,0.0,0.0
71005,002,2,43,Bavli,0.0,0.0,0.5,0.5,0.5,0.0,0.0,4.0,4.5,0.0,0.0
